id,Название,Категория,Описание,Цена за 100 г,В наличии,Фото,Порядок
1,Frico козий,Козий,"Frico Chevrette Mild. 100% пастеризованное козье молоко, выдержка 5 недель. Мягкий, нежный вкус, белая мякоть, умеренная солёность. Нидерланды.",,да,,1
2,Balgrano козий,Козий,"Твёрдый итальянский сыр из козьего молока. Зернистая рассыпчатая текстура, лёгкая сладость с ореховыми нотами и едва уловимой пикантностью. Длительная выдержка.",,да,,2
3,Balgrano корова,Твёрдые,"Коровий сыр Balgrano, классический вкус. Плотная текстура, подходит для нарезки и кулинарии.",,да,,3
4,Primadonna красная (Maturo),Твёрдые,"Prima Donna Maturo (Vandersterre, Нидерланды) — выдержка около 14 месяцев. Голландский сыр на итальянских заквасках: пикантно-сладкий вкус с ореховыми и карамельными нотами, плотная текстура, кристаллы созревания.",,да,,4
5,Primadonna чёрная (Forte),Твёрдые,"Prima Donna Forte — самая выдержанная в линейке, около 24 месяцев. Рассыпчатая текстура, много кристаллов созревания, насыщенный солоноватый вкус с карамелью и орехами, ближе к пармезану.",,да,,5
6,Landana 1000 дн,Твёрдые,"Гауда выдержки 1000 дней. За время созревания теряет 25% веса. Плотная, слегка рассыпчатая текстура с кристаллами. Полный, насыщенный вкус.",,да,,6
7,Landana 500,Твёрдые,"Landana 500 DAYS — выдержка более 16 месяцев. Крепкая рассыпчатая структура с хрустящими солевыми кристаллами, орехово-карамельный пикантный вкус. 100% голландское коровье молоко.",,да,,7
8,1001 ночь,Твёрдые,"Brokkel Kaas «1001 ночь» — экстра-выдержанный голландский сыр, 3–4 года. Медовый цвет, очень плотная текстура: не режется ножом, только разламывается. Яркий солоновато-ореховый вкус, хрустящие кристаллы. Практически без лактозы.",,да,,8
9,Chevrano XO,Козий,"Chèvrano XO (Van der Heiden Kaas) — козий сыр экстра-выдержки, 12+ месяцев на сосновых досках, головки в ткани и чёрном воске. Плотная текстура цвета слоновой кости, маслянисто-молочный вкус с карамельной нотой.",,да,,9
10,Tartufo козий,С добавками,"Tartufo — фермерский голландский козий сыр с настоящим чёрным итальянским трюфелем. Созревание 8–12 недель, за это время сыр пропитывается ароматом трюфеля. Нежная эластичная текстура, сливочная мягкость.",,да,,10
11,Tartufo корова,С добавками,"Tartufo Original — фермерский голландский сыр из коровьего молока с чёрным трюфелем. Светлая сырная масса с вкраплениями трюфеля, насыщенный землистый аромат.",,да,,11
12,Jersey розовый,Твёрдые,"Гауда из молока коров джерсейской породы — оно жирнее и слаще обычного, поэтому сыр особенно сливочный. Выдержанная (mature) версия с красно-розовой этикеткой: полный вкус, лёгкая пикантность.",,да,,12
13,Jersey синий,Твёрдые,"Гауда из молока коров джерсейской породы — оно жирнее и слаще обычного, поэтому сыр особенно сливочный. Версия с синей этикеткой: более мягкий, молодой вкус.",,да,,13
14,Veenmeester Truffel,С добавками,"Veenmeester Botanica Truffel — голландский сыр с трюфелем. Кремовая текстура, землистый вкус с глубоким умами. Коровье молоко.",,да,,14
15,Veenmeester XO,Твёрдые,"Veenmeester Anno59 XO — экстра-выдержанный голландский сыр в чёрном воске. Насыщенный вкус, плотная текстура с кристаллами созревания.",,да,,15
16,Old Amsterdam,Твёрдые,"Old Amsterdam Classic — оригинальный Old Amsterdam. Слегка рассыпчатый, с тонкими кристаллами созревания, полный вкус и пикантный характер. Классика голландского сыроделия.",,да,,16
17,Old Amsterdam Reserve,Твёрдые,"Old Amsterdam Reserve — премиальная выдержанная гауда для ценителей. Глубокий насыщенный вкус с нотами бурбона, карамели и пекана; плотная рассыпчатая текстура с хрустящими кристаллами созревания.",,да,,17
18,Old Amsterdam козий,Козий,"Old Amsterdam Goat — выдержанный козий сыр. Гладкая сливочная текстура в сочетании с хрустом кристаллов созревания, глубокий золотистый цвет, вкус с нотами карамели и орехов. Награда Super Gold на World Cheese Awards.",,да,,18
19,Basiron лаванда,С добавками,"Basiron Lavender (Veldhuyzen Kaas) — нежный сливочный сыр типа гауда с лавандой: цветочный аромат, фиолетовый цвет.",,да,,19
20,Basiron лимончелло,С добавками,"Basiron Limoncello — сливочный сыр типа гауда с лимоном: яркая цитрусовая нотка, жёлтый цвет.",,да,,20
21,Basiron tricolore,С добавками,"Basiron Tricolore — три цвета и три вкуса в одной головке: красный с красным перцем, зелёный с паприкой и белый — настоящий козий сыр.",,да,,21
22,Basiron чёрный лимон,С добавками,"Basiron Black Lemon — гауда, вдохновлённая азиатской кухней: чёрный лимон даёт освежающий вкус лимона и лайма, активированный уголь — чёрный цвет и лёгкую лакричную ноту.",,да,,22
23,Montana синяя (Delicato),Твёрдые,"Montana Delicato (Veldhuyzen Kaas) — выдержанный голландский сыр, созревает на деревянных полках не менее 25 недель. Сладковатый, умеренно пикантный вкус.",,да,,23
24,Montana красная (Intenso),Твёрдые,"Montana Intenso — экстра-выдержанный голландский сыр, не менее 45 недель на деревянных полках. Сладкий и очень пикантный вкус. «Лучший голландский сыр» на International Cheese Awards 2018 и 2019.",,да,,24
25,Corsaro Nero,Твёрдые,"Corsaro Nero — сардинский овечий сыр с характерной чёрной коркой (несъедобной). Выдержка от 90 дней, плотная текстура, выраженный, слегка острый ароматный вкус.",,да,,25
26,Pecorino romano куски 1 кг,Твёрдые,"Pecorino Romano DOP — твёрдый овечий сыр, выдержка 8–12 месяцев. Солёный, интенсивный, слегка пикантный. Идеален для пасты и тёрки. Куски по 1 кг.",,да,,26
27,Pecorino romano nero куски 1 кг,Твёрдые,"Pecorino Romano с чёрной коркой (scorza nera) — классический овечий Romano в традиционном чёрном покрытии. Плотная текстура, интенсивный солёный вкус. Куски по 1 кг.",,да,,27
28,Grana padano куски 1.2 кг,Твёрдые,"Grana Padano DOP — итальянский твёрдый сыр, выдержка 9–24 месяца. Зернистая текстура, сладковатый вкус, ореховые ноты. Варится в медных котлах. Куски по 1,2 кг.",,да,,28
29,Норв. завтрак (брюност) красный,С добавками,"Норвежский коричневый сыр брюност (Gudbrandsdalsost, TINE). Варится из сыворотки с добавлением козьего и коровьего молока и сливок. Сладковато-солёный карамельный вкус. Традиционная часть норвежского завтрака — на хлеб и вафли.",,да,,29
30,Ильчестер манго-апельсин,С добавками,"Ilchester Wensleydale with Mango & Orange — сливочный, слегка творожистый, рассыпчатый Уэнслидейл с кусочками манго и апельсина.",,да,,30
31,Ильчестер манго-имбирь,С добавками,"Ilchester Wensleydale with Mango & Ginger — Уэнслидейл с манго и имбирём. Фруктово-пряный, сладковатый вкус.",,да,,31
32,Ильчестер шоколад-апельсин,С добавками,Ilchester Wensleydale with Chocolate & Orange — Уэнслидейл с кусочками молочного и белого шоколада и апельсиновой цедрой. Готовый десерт.,,да,,32
33,Ильчестер клюква,С добавками,"Ilchester Wensleydale with Cranberries — самый популярный Уэнслидейл с добавками: сливочный, слегка кисловатый сыр с сочной клюквой и медовым послевкусием.",,да,,33
34,Манчего чёрный трюфель,С добавками,"Овечий сыр Манчего с чёрным итальянским трюфелем. PDO, провинция Вега Манча, Испания. Выдержка 3+ месяца.",,да,,34
35,Бавария блю,Голубые,"Bavaria blu (Bergader, с 1972 г.) — немецкий голубой сыр с белой и синей плесенью. Пастеризованное молоко из Баварских Альп, ручная работа, без консервантов. Кремовая консистенция, пикантный пряный вкус.",,да,,35
36,Монтаньоло золотая,Голубые,"Montagnolo Affiné (Käserei Champignon, золотая упаковка) — мягкий голубой сыр тройной сливочности с поверхностным созреванием. Маслянистый, слегка пикантный, тает во рту. Supreme Champion International Cheese Awards 2013.",,да,,36
37,Монтаньоло чёрная,Голубые,"Montagnolo (Käserei Champignon, чёрная упаковка) — мягкий голубой сыр с кремовой текстурой и двумя видами плесени.",,да,,37
38,Landana Truffle,С добавками,"Landana Truffle — голландский сыр из пастеризованного коровьего молока с чёрным трюфелем, белыми грибами и пажитником. Плотная текстура, насыщенный трюфельный аромат.",,да,,38
39,Castello ananas,С добавками,"Castello Pineapple & Almond — кольцо из мягкого сливочного сыра с кусочками ананаса, цукатами папайи и жареным миндалём. Тропические ноты, лёгкий хруст. Золотая медаль Global Cheese Awards 2015. 125 г.",,да,,39
40,Дорблю Польша,Голубые,Dorblu из Польши. Голубой сыр с пикантным вкусом.,,да,,40
41,Дорблю оригинал Германия,Голубые,"Dorblu Classic (Käserei Champignon, Германия) — «голубое золото»: голубой сыр из пастеризованного коровьего молока с нежной пикантностью и кремовой консистенцией. Плесень Penicillium roqueforti.",,да,,41
42,Бри и камамбер (Käserei ж/б Германия 125 г),Мягкие,"Käserei Champignon Brie и Camembert в жестяной банке 125 г, Германия. Мягкие сыры с белой плесенью из пастеризованного коровьего молока: бри мягче и сливочнее, камамбер пикантнее. Банка с ключом сохраняет свежесть.",,да,,42
43,Сантагюр,Голубые,"Saint Agur — французский мягкий голубой сыр из Оверни. Жирность 60%, выдержка около 2 месяцев. Нежнее рокфора, кремовый. Восьмигранная форма головок.",,да,,43
